ticker,last,Percent change,Dollar change,Rating,Volumne,Mkt Cap,P/E,EPS,Num Employees,Sector,company,date
AMC,26.12,-1.51%,-0.40,Buy,660.624M,11.761B,—,-19.80,28468.00,Consumer Services,AMC ENTERTAINMENT HOLDINGS INC   ,2021-05-29
SNDL,0.97,14.79%,0.12,Buy,622.603M,1.804B,—,-0.87,394.00,Process Industries,SUNDIAL GROWERS INC   ,2021-05-29
NAKD,0.62,7.84%,0.04,Buy,279.856M,483.875M,—,-0.97,506.00,Consumer Non-Durables,NAKED BRAND GROUP LTD   ,2021-05-29
VVTNR,7.81,95.74%,3.82,Strong Buy,232.442M,404.109M,—,-0.45,282.00,Industrial Services,VERTEX ENERGY INC   ,2021-05-29
F,14.53,-2.35%,-0.35,Buy,152.104M,57.999B,14.78,1.02,186000.00,Consumer Durables,FORD MTR CO DEL   ,2021-05-29
BB,10.07,1.00%,0.10,Buy,116.292M,5.702B,—,-2.10,3497.00,Technology Services,BLACKBERRY LTD   ,2021-05-29
PLTR,22.95,1.10%,0.25,Buy,111.840M,43.071B,—,-0.71,2439.00,Technology Services,PALANTIR TECH INC   ,2021-05-29
GGOED,1.82,-70.02%,-4.25,Strong Sell,96.798M,11.122M,—,-4.36,—,Retail Trade,1847 GOEDEKER INC   ,2021-05-29
GE,14.06,-2.02%,-0.29,Buy,72.572M,123.428B,—,-0.14,174000.00,Producer Manufacturing,GENERAL ELECTRIC CO   ,2021-05-29
AAPL,124.61,-0.53%,-0.67,Sell,71.310M,2079.446B,28.11,4.50,147000.00,Electronic Technology,Apple Inc   ,2021-05-29
NOK,5.16,1.78%,0.09,Buy,68.838M,29.400B,—,-0.44,—,Electronic Technology,NOKIA OYJ ADR EACH REPR 1 ORD NPV   ,2021-05-29
IITRM,1.45,17.89%,0.22,Strong Buy,66.058M,259.751M,—,-2.44,7.00,Health Technology,ITERUM THERAPEUTICS PLC   ,2021-05-29
TLRY,16.67,-2.91%,-0.50,Buy,65.329M,7.442B,—,-2.70,1030.00,Process Industries,TILRAY INC   ,2021-05-29
SPY,420.04,0.18%,0.75,Buy,58.519M,—,—,—,—,Miscellaneous,SPDR S&P 500 ETF TRUST   ,2021-05-29
NIO,38.62,-0.75%,-0.29,Buy,58.234M,60.599B,—,-0.95,—,Consumer Durables,NIO INC   ,2021-05-29
PBR,10.21,6.58%,0.63,Strong Buy,54.016M,67.023B,5.94,1.61,49050.00,Energy Minerals,PETROLEO BRASILEIRO SA PETROBR   ,2021-05-29
SPCE,31.23,0.45%,0.14,Buy,53.988M,8.056B,—,-1.50,823.00,Electronic Technology,VIRGIN GALACTIC HLDGS INC   ,2021-05-29
SQQQ,11.07,-0.98%,-0.11,Sell,44.963M,—,—,—,—,Miscellaneous,PROSHARES TRUST ULTRAPRO SHORT QQQ NEW 2020(R/S)   ,2021-05-29
EEEM,54.87,0.64%,0.35,Buy,43.730M,—,—,—,—,Miscellaneous,ISHARES TRUST MSCI EMG MKTS ETF USD DIS   ,2021-05-29
AAHT,4.05,-2.17%,-0.09,Buy,41.970M,588.587M,—,-36.14,—,Finance,ASHFORD HOSPITALITY TRUST INC   ,2021-05-29
AMD,80.08,2.12%,1.66,Buy,40.953M,97.299B,33.33,2.40,12600.00,Electronic Technology,Advanced Micro Devices Inc   ,2021-05-29
T,29.43,-0.94%,-0.28,Strong Sell,40.930M,210.130B,—,-0.34,230000.00,Communications,AT&T INC   ,2021-05-29
EEXPR,4.29,-10.81%,-0.52,Buy,40.546M,284.246M,—,-6.29,10000.00,Retail Trade,EXPRESS INC   ,2021-05-29
PLUG,30.70,2.57%,0.77,Buy,40.289M,17.447B,—,-1.46,1285.00,Electronic Technology,PLUG POWER INC   ,2021-05-29
LLEDS,13.82,44.86%,4.28,Strong Buy,39.412M,56.079M,—,-0.39,130.00,Electronic Technology,SEMILEDS CORPORATION   ,2021-05-29
XLF,37.99,0.18%,0.07,Buy,39.268M,—,—,—,—,Miscellaneous,SELECT SECTOR SPDR TRUST FINANCIAL   ,2021-05-29
VALE,21.52,1.80%,0.38,Strong Buy,39.094M,109.628B,10.47,2.02,74316.00,Non-Energy Minerals,VALE S.A. SPONS ADS REPR 1 COM NPV   ,2021-05-29
OOCGN,8.73,0.23%,0.02,Buy,38.691M,1.731B,—,-0.33,15.00,Health Technology,OCUGEN INC   ,2021-05-29
BAC,42.39,-0.38%,-0.16,Buy,38.510M,363.253B,18.21,2.35,213000.00,Finance,BANK OF AMERICA CORPORATION   ,2021-05-29
HPQ,29.23,-8.94%,-2.87,Strong Sell,36.879M,36.612B,11.41,2.84,53000.00,Electronic Technology,HP INC   ,2021-05-29
TELL,4.36,12.08%,0.47,Strong Buy,35.384M,1.686B,—,-0.73,102.00,Energy Minerals,TELLURIAN INC   ,2021-05-29
ZOM,0.84,-0.81%,-0.01,Sell,31.059M,818.454M,—,-0.04,—,Miscellaneous,ZOMEDICA CORP   ,2021-05-29
EWZ,38.91,1.86%,0.71,Strong Buy,30.912M,—,—,—,—,Miscellaneous,ISHARES INC MSCI BRAZIL ETF   ,2021-05-29
AAL,24.24,-0.78%,-0.19,Buy,30.594M,15.547B,—,-15.31,102700.00,Transportation,AMERICAN AIRLINES GROUP INC   ,2021-05-29
QQQ,333.93,0.32%,1.05,Buy,29.927M,—,—,—,—,Miscellaneous,INVESCO QQQ TRUST UNIT SER 1   ,2021-05-29
ITUB,5.70,2.52%,0.14,Strong Buy,29.217M,52.405B,13.98,0.40,96500.00,Finance,ITAU UNIBANCO HOLDINGS S.A. ADR EACH REPR 1 PRF NPV   ,2021-05-29
MVIS,15.60,-1.45%,-0.23,Buy,28.260M,2.464B,—,-0.10,52.00,Electronic Technology,MICROVISION INC WASHINGTON   ,2021-05-29
EEMAN,4.07,53.01%,1.41,Strong Buy,27.710M,294.143M,—,-0.27,104.00,Electronic Technology,EMAGIN CORP   ,2021-05-29
CCL,29.56,-1.47%,-0.44,Buy,25.636M,32.742B,—,-13.97,—,Consumer Services,CARNIVAL CORP   ,2021-05-29
FCEL,9.82,-0.20%,-0.02,Buy,24.919M,3.166B,—,-0.37,316.00,Electronic Technology,FUELCELL ENERGY INC   ,2021-05-29
SSOS,3.37,-11.32%,-0.43,Sell,24.056M,418.086M,50.60,0.01,125.00,Technology Services,SOS LIMITED SPON ADS EA REP 10 ORD SHS CL A   ,2021-05-29
SIRI,6.25,0.64%,0.04,Buy,23.353M,25.567B,776.25,0.01,5726.00,Consumer Services,SIRIUS XM HOLDINGS INC   ,2021-05-29
FFAMI,0.43,0.58%,0.00,Sell,22.873M,82.380M,8.52,0.05,69.00,Retail Trade,FARMMI INC   ,2021-05-29
TSLA,625.22,-0.89%,-5.63,Neutral,22.737M,602.293B,631.42,1.17,70757.00,Consumer Durables,TESLA INC   ,2021-05-29
SLV,25.90,0.19%,0.05,Buy,22.530M,—,—,—,—,Miscellaneous,ISHARES SILVER TRUST ISHARES   ,2021-05-29
ACB,9.66,7.69%,0.69,Strong Buy,22.521M,1.913B,—,-16.04,2731.00,Process Industries,AURORA CANNABIS INC   ,2021-05-29
