,strDate,Negative,Positive,Overall,ticker,open,adjusted_close
0,2021-02-16,752.0,364.0,-388.0,$GME,52.66,49.51
1,2021-02-17,1134.0,430.0,-704.0,$GME,49.77,45.94
2,2021-02-18,2716.0,1025.0,-1691.0,$GME,48.49,40.69
3,2021-02-19,1039.0,489.0,-550.0,$GME,41.28,40.59
4,2021-02-20,391.0,223.0,-168.0,$GME,41.28,40.59
5,2021-02-21,366.0,177.0,-189.0,$GME,41.28,40.59
6,2021-02-22,572.0,276.0,-296.0,$GME,46.69,46.0
7,2021-02-23,692.0,345.0,-347.0,$GME,44.97,44.97
8,2021-02-24,4524.0,1763.0,-2761.0,$GME,44.7,91.71
9,2021-02-25,6172.0,2833.0,-3339.0,$GME,169.56,108.73
10,2021-02-26,2381.0,1424.0,-957.0,$GME,117.46,101.74
11,2021-02-27,803.0,347.0,-456.0,$GME,117.46,101.74
12,2021-02-28,593.0,287.0,-306.0,$GME,117.46,101.74
13,2021-03-01,1077.0,726.0,-351.0,$GME,104.54,120.4
14,2021-03-02,1289.0,726.0,-563.0,$GME,116.93,118.18
15,2021-03-03,1207.0,689.0,-518.0,$GME,122.51,124.18
16,2021-03-04,1283.0,792.0,-491.0,$GME,125.0,132.35
17,2021-03-05,1277.0,868.0,-409.0,$GME,128.17,137.74
18,2021-03-06,563.0,237.0,-326.0,$GME,128.17,137.74
19,2021-03-07,314.0,200.0,-114.0,$GME,128.17,137.74
20,2021-03-08,1454.0,1069.0,-385.0,$GME,154.89,194.5
21,2021-03-09,1520.0,1185.0,-335.0,$GME,217.71,246.9
22,2021-03-10,5283.0,2243.0,-3040.0,$GME,269.43,265.0
23,2021-03-11,1969.0,949.0,-1020.0,$GME,241.64,260.0
24,2021-03-12,1373.0,1016.0,-357.0,$GME,274.9965,264.5
25,2021-03-13,545.0,324.0,-221.0,$GME,274.9965,264.5
26,2021-03-14,564.0,404.0,-160.0,$GME,274.9965,264.5
27,2021-03-15,1446.0,740.0,-706.0,$GME,277.52,220.14
